LHID,Cosmology,Phase,LCDM,Massive Neutrinos,SimName,Description,omega_b,omega_cdm,h,A_s,n_s,alpha_s,N_ur,N_ncdm,omega_ncdm,w0_fld,wa_fld,sigma8_m,sigma8_cb
12,2,0,n,y,AbacusSummit_base_c002_ph000,"wCDM with thawing model w0 = -0.7, wa = -0.5",0.02237,0.12,0.6278,2.31e-09,0.9649,0.0,2.0328,1,0.0006442,-0.7,-0.5,0.808189,0.811577
13,2,1,n,y,AbacusSummit_base_c002_ph001,"wCDM with thawing model w0 = -0.7, wa = -0.5",0.02237,0.12,0.6278,2.31e-09,0.9649,0.0,2.0328,1,0.0006442,-0.7,-0.5,0.808189,0.811577
14,2,2,n,y,AbacusSummit_base_c002_ph002,"wCDM with thawing model w0 = -0.7, wa = -0.5",0.02237,0.12,0.6278,2.31e-09,0.9649,0.0,2.0328,1,0.0006442,-0.7,-0.5,0.808189,0.811577
15,2,3,n,y,AbacusSummit_base_c002_ph003,"wCDM with thawing model w0 = -0.7, wa = -0.5",0.02237,0.12,0.6278,2.31e-09,0.9649,0.0,2.0328,1,0.0006442,-0.7,-0.5,0.808189,0.811577
16,2,4,n,y,AbacusSummit_base_c002_ph004,"wCDM with thawing model w0 = -0.7, wa = -0.5",0.02237,0.12,0.6278,2.31e-09,0.9649,0.0,2.0328,1,0.0006442,-0.7,-0.5,0.808189,0.811577
17,2,5,n,y,AbacusSummit_base_c002_ph005,"wCDM with thawing model w0 = -0.7, wa = -0.5",0.02237,0.12,0.6278,2.31e-09,0.9649,0.0,2.0328,1,0.0006442,-0.7,-0.5,0.808189,0.811577
18,3,0,y,y,AbacusSummit_base_c003_ph000,"Neff=3.70, from base_nnu_plikHM_TT_lowl_lowE_Riess18_post_BAO",0.0226,0.1291,0.716,2.24e-09,0.9876,0.0,2.6868,1,0.0006442,-1.0,0.0,0.85519,0.858583
19,3,1,y,y,AbacusSummit_base_c003_ph001,"Neff=3.70, from base_nnu_plikHM_TT_lowl_lowE_Riess18_post_BAO",0.0226,0.1291,0.716,2.24e-09,0.9876,0.0,2.6868,1,0.0006442,-1.0,0.0,0.85519,0.858583
20,3,2,y,y,AbacusSummit_base_c003_ph002,"Neff=3.70, from base_nnu_plikHM_TT_lowl_lowE_Riess18_post_BAO",0.0226,0.1291,0.716,2.24e-09,0.9876,0.0,2.6868,1,0.0006442,-1.0,0.0,0.85519,0.858583
21,3,3,y,y,AbacusSummit_base_c003_ph003,"Neff=3.70, from base_nnu_plikHM_TT_lowl_lowE_Riess18_post_BAO",0.0226,0.1291,0.716,2.24e-09,0.9876,0.0,2.6868,1,0.0006442,-1.0,0.0,0.85519,0.858583
22,3,4,y,y,AbacusSummit_base_c003_ph004,"Neff=3.70, from base_nnu_plikHM_TT_lowl_lowE_Riess18_post_BAO",0.0226,0.1291,0.716,2.24e-09,0.9876,0.0,2.6868,1,0.0006442,-1.0,0.0,0.85519,0.858583
23,3,5,y,y,AbacusSummit_base_c003_ph005,"Neff=3.70, from base_nnu_plikHM_TT_lowl_lowE_Riess18_post_BAO",0.0226,0.1291,0.716,2.24e-09,0.9876,0.0,2.6868,1,0.0006442,-1.0,0.0,0.85519,0.858583
24,4,0,y,y,AbacusSummit_base_c004_ph000,"Low sigma8_matter = 0.75, otherwise Baseline LCDM",0.02237,0.12,0.6736,1.79e-09,0.9649,0.0,2.0328,1,0.0006442,-1.0,0.0,0.749999,0.753159
25,4,1,y,y,AbacusSummit_base_c004_ph001,"Low sigma8_matter = 0.75, otherwise Baseline LCDM",0.02237,0.12,0.6736,1.79e-09,0.9649,0.0,2.0328,1,0.0006442,-1.0,0.0,0.749999,0.753159
26,4,2,y,y,AbacusSummit_base_c004_ph002,"Low sigma8_matter = 0.75, otherwise Baseline LCDM",0.02237,0.12,0.6736,1.79e-09,0.9649,0.0,2.0328,1,0.0006442,-1.0,0.0,0.749999,0.753159
27,4,3,y,y,AbacusSummit_base_c004_ph003,"Low sigma8_matter = 0.75, otherwise Baseline LCDM",0.02237,0.12,0.6736,1.79e-09,0.9649,0.0,2.0328,1,0.0006442,-1.0,0.0,0.749999,0.753159
